metric_key,display_name,stage,unit,availability,source_scope,aggregation,formula,numerator_key,denominator_key,platform_comparability,decision_role,zero_denominator_policy,notes
muhurat_report_start_rate,Muhurat report start rate,feature,rate,blocked_until_attribution,paid_plus_app,derived,unique attributed installs with feature_chat_started where feature=muhurta / eligible attributed installs,muhurat_report_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,The feature start event exists but creative-level reporting is unavailable until acquisition attribution is implemented and event names are canonicalized.
matching_report_start_rate,Kundli matching report start rate,feature,rate,blocked_until_attribution,paid_plus_app,derived,unique attributed installs with feature_chat_started where feature=kundliMatching / eligible attributed installs,matching_report_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,The feature start event exists but creative-level reporting is unavailable until acquisition attribution is implemented and event names are canonicalized.
voice_input_start_rate,Voice input start rate,feature,rate,blocked_until_funnel_complete,paid_plus_app,derived,unique attributed installs with voice_input_started / eligible attributed installs,voice_input_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,No canonical voice_input_started analytics event or install attribution exists today.
qr_open_to_import_rate,QR open-to-import rate,feature,rate,blocked_until_funnel_complete,app,derived,unique sessions with parivar_qr_imported after a receive or scan open / unique sessions with a receive or scan open,qr_import_sessions,qr_receive_open_sessions,canonical,secondary,null,iOS and Android QR event names and boundaries differ; canonical same-session funnel derivation is not implemented.
family_profile_to_answer_rate,Family profile-to-answer rate,feature,rate,blocked_until_funnel_complete,app,derived,unique sessions with chat_answer_completed in the same selected-family context after relationship_person_selected / unique sessions with relationship_person_selected,family_context_answer_sessions,family_person_selected_sessions,canonical,secondary,null,Completed-answer events do not consistently preserve selected family and feature context across both clients.
panchang_report_start_rate,Panchang report start rate,feature,rate,blocked_until_attribution,paid_plus_app,derived,unique attributed installs with feature_chat_started where feature=panchang / eligible attributed installs,panchang_report_start_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,The feature start event exists but creative-level reporting is unavailable until acquisition attribution is implemented and event names are canonicalized.
birth_profile_saved_rate,Birth profile saved rate,activation,rate,blocked_until_funnel_complete,paid_plus_app,derived,unique attributed installs with birth_profile_saved within 24h / eligible attributed installs,birth_profile_saved_installs,eligible_attributed_installs,attribution_window_specific,secondary,null,app_first_open and install attribution are missing and profile-save event names differ across clients.
d1_retention,D1 guided retention,retention,rate,blocked_until_funnel_complete,app,derived,d1_retained / eligible_d1_activated,d1_retained,eligible_d1_activated,canonical,guardrail,null,Uses the elapsed 24 through 48 hour window.
d7_retention,D7 guided retention,retention,rate,blocked_until_funnel_complete,app,derived,d7_retained / eligible_d7_activated,d7_retained,eligible_d7_activated,canonical,guardrail,null,Uses only mature cohorts.
d30_retention,D30 guided retention,retention,rate,blocked_until_funnel_complete,app,derived,d30_retained / eligible_d30_activated,d30_retained,eligible_d30_activated,canonical,guardrail,null,Uses only mature cohorts.
weekly_guided_households,Weekly guided households,north_star,count,blocked_until_funnel_complete,app,distinct_count,distinct households with completed personalized value,,,canonical,north_star,null,Export only the aggregate count.
cac,Customer acquisition cost,monetization,currency,future,paid_plus_app,derived,spend / first_payers,spend,first_payers,attribution_window_specific,future,null,No payment product exists in the current app.
roas,Return on ad spend,monetization,ratio,future,paid_plus_app,derived,attributed_net_revenue / spend,attributed_net_revenue,spend,attribution_window_specific,future,null,No payment product exists in the current app.
